BCL6-HDAC4 complex;BCL6,HDAC4
TGF-beta receptor II-TGF-beta1 complex;TGFB1,TGFBR2
TGF-beta receptor II-TGF-beta receptor I-TGF-beta1 complex;TGFB1,TGFBR1,TGFBR2
TGF-beta receptor II-TGF-beta receptor I-TGF-beta3 complex;TGFB3,TGFBR1,TGFBR2
Drosha complex;Dhx15,Hnrnph1,Ddx17,Drosha,Ddx5,Tardbp,Hnrnpm,Dgcr8
Microprocessor complex;DGCR8,DROSHA
RNA-induced silencing complex, RISC;TARBP2,AGO2,DICER1
PAC3-PAC4 complex;PSMG4,PSMG3
PAC1-PAC2 complex;PSMG1,PSMG2
LAT2-ITGB1 complex;ITGB1,SLC7A8
Ubiquitin E3 ligase (SKP1A, SKP2, CUL1, CKS1B, RBX1);CKS1B,RBX1,SKP1,SKP2,CUL1
Ubiquitin E3 ligase (Fbxl20, Skp1, Cul1);Fbxl20,Skp1,Cul1
SMAD2-SMAD4-FAST1 complex;FOXH1,SMAD4,SMAD2
SMAD2-FAST1 complex;FOXH1,SMAD2
Multisynthetase complex;EEF1E1,EPRS,DARS,IARS,QARS,RARS,MARS,AIMP1,AIMP2,KARS,LARS
BMP2-BRIA complex;BMP2,BMP4,BMPR1A
SKI-NCOR1-SIN3A-HDAC1 complex;NCOR1,SKI,HDAC1,SIN3A
hs4 enhancer complex (faster migrating complex);POU2F2,POU2F1,NFKB1,YY1,RELA
hs4 enhancer complex (slow migrating complex);YY1,RELB
Parvulin-associated pre-rRNP complex;Rpl21,DHX15,RSL1D1,GAS8,Ncl,Fn1,Rpl7a,Rpl7,Rplp0,Rpl13a,CDK11B,RPL10,Rpl3,Fbl,Rpl18,RPS9,Rpl6,Rpl5,Rpl13,Cebpz,Rrp1,Rpl26,Rps8,Rps4x,Rpl18a,Rps6,RPL10A,Rps3,Rpl8,TUBA1B,Rpl19,Rps3a,Bop1,Tubb5,Ddx5,Nop58,Mybbp1a,Ddx18,Nifk,Ddx27,Nop2,Gnl2,Gtpbp4,MND1,Rpl14,Rrs1,Rpl15,Mrto4,Ddx56,Nop56,Rpl4,Eef1g,Ebna1bp2,Ftsj3,Pes1,Ddx24,Ddx21,Rpf2,Wdr12,RBM28,TPX2,PIN4
mSin3A complex;RBBP4,HDAC1,RBBP7,HDAC2,SIN3A
Mad-Max-mSin3a complex;Max,Mxd1,Sin3a
Mad-Max-mSin3B complex;Max,Mxd1,Sin3b
MAD-MAX complex;MAX,MXD1
mSin3A-HDAC1-HDAC2 complex;HDAC1,HDAC2,SIN3A
MAD1-mSin3A-HDAC2 complex;MXD1,HDAC2,SIN3A
Nop56p-associated pre-rRNA complex;NOP56,RSL1D1,SLC25A5,RPLP1,RPLP2,RPLP0,NPM1,RPS17,HNRNPA1,TOP1,EEF2,RPS2,HIST1H1D,RPL35A,RPL7,RPL17,NCL,FBL,RPS12,U2AF2,RPL13,RPL10,RPL12,RPL9, RPL9,RPL22,RPL4,SRP14,RPL3,RPL13A,RPL35,RPL27A,RPL5,RPL21,RPL28,RPS9,RPL29,TUFM,RPL14,HNRNPM,NAP1L1,SNU13,RPS3A,RPL26,RPL15,RPL27,RPL37A,RPS7,RPS8,RPS15A,RPS16,RPS14,RPS23,RPS18,RPS29,RPS13,RPS11,RPL7A,ACTA2,RPL23A,RPS6,RPL23,RPS15,RPS24,RPL30,RPL39,RPL31,RPL10A,RPL32,RPL11,RPL8,ACTG2,YBX1,EEF1A1,RPL24,RPL36A,RPL19,HNRNPU,U2AF1,RPL18A,RPL6,RPL18,DHX9,ILF2,ILF3,TCOF1,PWP1,NOLC1,SCYL2,TUBA1A,BRIX1,H1FX,SRPK1,EBNA1BP2,HIST1H2BM,MYBBP1A,GNL3,TUBB1,DDX21,RBM28,LYAR,IGF2BP1,NOP58,LUC7L2,RPL36
ITGA10-ITGB1 complex;ITGA10,ITGB1
ITGA11-ITGB1 complex;ITGB1,ITGA11
ITGA11-ITGB1-COL1A1 complex;COL1A1,ITGB1,ITGA11
RNA polymerase II complex (RPB1, RAP74, CDK8, CYCC, SRB7, BAF190, BAF47), chromatin structure modifying;CCNC,POLR2A,GTF2F1,CDK8,SMARCA2,SMARCB1,MED21
RNA polymerase II complex (CBP, PCAF, RPB1, BAF47, CYCC, CDK8), chromatin structure modifying;CCNC,POLR2A,CDK8,SMARCB1,CREBBP,KAT2B
RNA polymerase II complex, (CBP, RPBI, PCAF, BAF47), chromatin structure modifying;POLR2A,SMARCB1,CREBBP,KAT2B
Brg1-associated complex II;ARID1A,PRMT5,ACTL6A,SMARCA4,SMARCB1,SMARCC2,SMARCC1
RNA polymerase II complex, chromatin structure modifying;ERCC3,CCNC,POLR2A,GTF2F1,CDK8,SMARCA2,SMARCA4,GTF2B,SMARCB1,MED21,GTF2H3,CREBBP,KAT2B
RNA polymerase II complex, (CDK8 complex), chromatin structure modifying;CCNC,GTF2F1,CDK8,CCNH,SMARCB1,MED21,SMARCC2,SMARCC1
Fertilin complex (Adam1a, Adam2);Adam2,Adam1a
Amot-Arhgap17-Pard3 complex;Amot,Arhgap17,Pard3
CTF18-cohesion-RFC-POLH complex;CHTF8,RFC4,RFC2,RFC5,RFC3,CHTF18,DSCC1,POLH
CTLH complex;MAEA,ARMC8,RANBP9,RMND5A,MKLN1
CCT-Prefoldin complex, testis specific;PFDN6,PFDN1,VBP1,CCT7,CCT4,TCP1,CCT6B,CCT3,CCT5,CCT2,CCT8,PFDN5,PFDN4,PFDN2
UTX-MLL2/3 complex;KMT2D,KDM6A,WDR5,NCOA6,KDM6B,PPP6R3,PAXIP1,N4BP2,PROSER1,KMT2C,ASH2L,ZNF281
Elk1-Srf complex;Elk1,Srf
Myocd-Srf complex;Srf,Myocd
DGCR8-NCL complex;NCL,DGCR8
DGCR8-ILF3 complex;ILF3,DGCR8
ILF3-XPO5 complex;ILF3,XPO5
DGCR8 multiprotein complex;HNRNPR,HSPA5,DDX5,NCL,HNRNPH1,FUS,HNRNPU,DHX9,ILF3,DGCR8,DDX17
CCND1-CDK4 complex;CDK4,CCND1
CCND2-CDK4 complex;CDK4,CCND2
CCND3-CDK4 complex;CDK4,CCND3
CCND1-CDK6 complex;CCND1,CDK6
CCND2-CDK6 complex;CCND2,CDK6
CCND3-CDK6 complex;CCND3,CDK6
Kv4.2-Kchip4 channel complex;Kcnd2,Kcnip4
Kv4.3-Kchip1 channel complex;Kcnd3,Kcnip1
APP-TOM40 complex;TOMM40,APP
APP-TIM23 complex;TIMM23,APP
Metaxin complex;Mtx2,Mtx1
Itgav-Itgb3-Tgm2 complex;Itgav,Itgb3,Tgm2
ITGA6-ITGB4-SHC1-GRB2 complex;ITGB4,ITGA6,SHC1,GRB2
TIM17A-TIM23 complex;TIMM23,TIMM17A
TIM50-SMN1 complex;SMN1, SMN2,TIMM50
TIM50-COIL complex;COIL,TIMM50
Yy1-Ppargc1a complex;Ppargc1a,Yy1
Mtor-Yy1-Ppargc1a complex;Ppargc1a,Yy1,Mtor
DHX9-ADAR-vigilin-DNA-PK-Ku antigen complex;XRCC6,XRCC5,ADAR,PRKDC,HDLBP,DHX9
ITGAV-ITGB3-SLC3A2 complex;ITGB3,ITGAV,SLC3A2
ITGB1-NRP1 complex;NRP1,ITGB1
Itga7-Itgb11-Lama2 complex;Itgb1,Lama2,Itga7
Itga7-Itgb11-Ptk2 complex;Ptk2,Itgb1,Itga7
ITGAV-P2RY2-GNA12 complex;ITGAV,P2RY2,GNA12
ITGA9-ITGB1-SPP1 complex;ITGB1,SPP1,ITGA9
ITGA5-ITGB1-SPP1 complex;ITGB1,ITGA5,SPP1
Itgax-Itgb2-Icam4 complex;Itgb2,Icam4,Itgax
ITGA2B-ITGB3-ICAM4 complex;ITGB3,ITGA2B,ICAM4
ITGB5-ITGAV-VTN complex;VTN,ITGAV,ITGB5
SMN1-SIP1-SNRP complex;GEMIN2,SNRPB,SNRPE,SNRPD1,SNRPD2,SNRPD3,SMN1, SMN2
Kif17-Lin10-Lin2-Lin7-NR2B complex;Apba1,Cask,Grin2b,Lin7a,Kif17
OCT1-OBF1-DNA-TLE1 complex;POU2F1,TLE1,POU2AF1
OCT2-TLE4 complex;POU2F2,TLE4
OCT1-OBF1-DNA complex;POU2F1,POU2AF1
TLE2 homodimer complex;TLE2
TLE1-TLE2 complex;TLE1,TLE2
TLE1 homodimer complex;TLE1
Tle2-Hes1 complex;Hes1,Tle2
TLE-Histone H3 complex;HIST1H3A,,TLE1
Gamma-secretase complex (APH1B, PSEN1, PSENEN, NCSTN);PSEN1,APH1B,NCSTN,PSENEN
STAT6-p100-RHA complex;STAT6,DHX9,SND1
Tle3-Aes complex;Aes,Tle3
Hes1-TLE1 complex;Hes1,TLE1
Na(+)/K(+) ATPase;ATP1A1,ATP1B1,FXYD2
Hes1-Tle1 complex;Hes1,Tle1
MASH1 promoter-coactivator complex;PARP1,SRC,POLR2A,HIST1H4A,,HIST1H3A,,HES1,NONO,CREBBP,KAT2B
POSH-AKT2 complex;AKT2,SH3RF1
CRLR-RAMP1-ARRB2 complex;RAMP1,Arrb2,CALCRL
CRLR-RAMP2 complex;RAMP2,CALCRL
CRLR-RAMP3 complex;RAMP3,CALCRL
CAMK2-delta-MASH1 promoter-coactivator complex;PARP1,SRC,POLR2A,CAMK2D,HES1,NONO,CREBBP,KAT2B
Coatomer complex;Copb2,Cope,Copz1,Arcn1,Copa,Copb1,Copg1
Coatomer-Arf1 complex;Copb2,Cope,Copz1,Arf1,Arcn1,Copa,Copb1,Copg1
Beta/delta-coat protein subcomplex;Arcn1,Copb1
Arf1-beta/delta-coat protein subcomplex;Arf1,Arcn1,Copb1
NK-3-Groucho-HIPK2-SIN3A-RbpA48-HDAC1 complex;TLE1,RBBP4,HDAC1,SIN3A,NKX3-1,HIPK2
NK-3-Groucho complex;TLE1,NKX3-1
Sulphiredoxin-peroxiredoxin complex;PRDX1,SRXN1
Notch1(N-TM)-Notch1(N-EC) heterodimer complex;Notch1
GNAQ-GEFT-RHOA complex;GNAQ,RHOA,ARHGEF25
Notch2(N-TM)-Notch2(N-EC)-Delta complex;DLL1,NOTCH2
TFC4-CTNNB1 complex;CTNNB1,TCF7L2
CBF1-HDAC1-SMRT complex;RBPJ,HDAC1,NCOR2
PR -PRLR complex;PRL,PRLR
RIAM-Rap1-GTP-profilin complex;PFN1,RAP1A,APBB1IP
RIAM-profilin complex;PFN1,APBB1IP
RIAM-VASP complex;VASP,APBB1IP
PRLR homodimer complex;PRLR
TF-FVIIa-FXa-TFPI complex;F10,F7,TFPI,F3
HESX1-TLE1 complex;TLE1,HESX1
AXIN1-APC-CTNNB1-GSK3B complex;AXIN1,APC,CTNNB1,GSK3B
NCOR-SIN3-HDAC-HESX1 complex;SIN3B,HDAC1,HDAC2,SIN3A,HESX1,NCOR2
DAXX-AXIN complex;AXIN1,DAXX
Daxx-Axin complex;Daxx,Axin1
Daxx-Axin-p53 complex;AXIN1,TP53,DAXX
GluR6a-GluR6b-KA2 complex;Grik2,Grik2,Grik5
NUMB-TP53-MDM2 complex;TP53,NUMB,MDM2
CIN85 homotetramer complex;SH3KBP1
CIN85-BLNK complex;BLNK,SH3KBP1
CIN85-CBL complex;CBL,SH3KBP1
USP1-UAF1 complex;USP1,WDR48
GNA14-p115RhoGEF complex;GNA14,ARHGEF1
Frs2-Shp2 complex, FGF stimulated;Ptpn11,Frs2
Grb2-Shp2 complex, FGF stimulated;Ptpn11,Grb2
Shp2-Sos complex, FGF stimulated;Ptpn11,Sos1
LMO4-CREB complex;CREB1,LMO4
FHL2 homodimer complex;FHL2
PDGFRA-SHP-2 complex, PDGF stimulated;PDGFRA,PTPN11
FHL3 homodimer complex;FHL3
ACT homodimer complex;FHL5
GRB2-SHP-2 complex, PDGF stimulated;GRB2,PTPN11
FHL2-FHL3 complex;FHL3,FHL2
FHL2-ACT complex;FHL2,FHL5
FHL2-CREB complex;CREB1,FHL2
FHL3-CREB complex;CREB1,FHL3
ACT-CREB complex;CREB1,FHL5
G protein complex (Hdac4, Gnb1, Gng2);Gnb1,Gng2,Hdac4
G protein complex (Hdac5, Gnb1, Gng2);Gnb1,Gng2,Hdac5
G protein complex (Btk, Gng2, Gnb1);Btk,Gnb1,Gng2
FHL4/STX11-ACT complex;STX11,FHL5
SMAD4-SNO-SKI complex;SKI,SKIL,SMAD4
SKI-SMAD2 complex;SKI,SMAD2
SKI-SMAD3 complex;SKI,SMAD3
SMAD4-SKI complex;SKI,SMAD4
Ship-Shc complex, IL-3 stimulated;Shc1,Inpp5d
Il3rb1-Shc-Ship complex, IL-3 stimulated;Csf2rb,Shc1,Inpp5d
Shc-Ship-Grb2 complex, IL-3 stimulated;Shc1,Grb2,Inpp5d
SMAD2-SKI-NCOR complex;NCOR1,SKI,SMAD2
SMAD3-SKI-NCOR complex;NCOR1,SKI,SMAD3
SMAD4-SKI-NCOR complex;NCOR1,SKI,SMAD4
LIN2-LIN7-SAP97-MINT1 complex;LIN7A,CASK,APBA1,DLG1
LIN2-LIN7 complex;LIN7A,CASK
LIN2-SAP97 complex;CASK,DLG1
Dlg3-Dlg1 complex;Dlg1,Dlg3
Pax7-HMT complex;Kmt2b,Pax7,Wdr5,Ash2l
ULBP1-KLRK1-HCST complex;KLRK1,ULBP1,HCST
G protein complex (Mcf2l, Gnb1, Gng2);Gnb1,Gng2,Mcf2l
G protein complex (Kalrn, Gnb1, Gng2);Gnb1,Kalrn,Gng2
MAML2-RBP-Jkappa-Notch2 complex;Rbpj,NOTCH2,Maml2
MAML2-RBP-Jkappa-Notch3 complex;Rbpj,Notch3,Maml2
MAML2-RBP-Jkappa-Notch4 complex;Rbpj,Maml2,NOTCH4
MAML3-RBP-Jkappa-Notch1 complex;Rbpj,NOTCH1,MAML3
MAML3-RBP-Jkappa-Notch2 complex;Rbpj,NOTCH2,MAML3
MAML3-RBP-Jkappa-Notch3 complex;Rbpj,Notch3,Maml3
MAML3-RBP-Jkappa-Notch4 complex;Rbpj,MAML3,NOTCH4
G protein complex (NME2, GNB1, GNGT1);GNGT1,GNB1,NME2
NMDA receptor complex (NR2A, NR2B, NR1, PSD-95);Dlg4,Grin1,Grin2a,Grin2b
Cd74-Cd44 receptor complex;Cd74,Cd44
Pick1-Pkca complex, TPA (tissue plasminogen activator) treated;Prkca,Pick1
Pick1-Glur2 complex;Gria2,Pick1
CDK9-IL6ST complex;IL6ST,CDK9
Cdk9- Il6st complex;Il6st,Cdk9
Eps15-stonin2 complex;EPS15,STON2
Hippocalcin-beta2-adaptin complex;Ap2b1,Hpca
SMAD2-SMAD4-FAST1-TGIF complex, TGF(beta) induced;FOXH1,SMAD4,TGIF1,SMAD2
SMAD2-SMAD4-FAST1-TGIF-HDAC1 complex, TGF(beta) induced;FOXH1,SMAD4,HDAC1,TGIF1,SMAD2
Gria2-Grip1-Nsg1-Stx12 complex;Stx12,Nsg1,Gria2,Grip1
SCAMP1-SCAMP2-SCAMP3 complex;SCAMP3,SCAMP1,SCAMP2
HERP1/HEY2-NCOR-SIN3A complex;HDAC1,SIN3A,HEY2,NCOR2
RB1-HDAC1-BRG1 complex;RB1,SMARCA4,HDAC1
Delta1 homodimer complex;DLL1
Gamma-secretase-Delta1 complex;DLL1,PSEN1,NCSTN,APH1A,PSENEN
GluR1-GluR2 complex;Gria1,Gria2
D2 receptor-Nsf-GluR2 complex;Gria2,Drd2,Nsf
SMN complex (GEMIN2, GEMIN3, GEMIN4, GEMIN5, SMN);GEMIN2,GEMIN4,SMN1, SMN2,GEMIN5,DDX20
Ng2-Grip1-Glur2 complex;Gria2,Cspg4,Grip1
SMN complex (GEMIN5,4,3), SMN-independent intermediate;GEMIN4,GEMIN5,DDX20
SMN complex (GEMIN6,7, UNRIP), SMN-independent intermediate;GEMIN6,GEMIN7,STRAP
SMN complex (GEMIN2,5, SMN);GEMIN2,SMN1, SMN2,GEMIN5
NIAP homotetramer complex;NAIP
CCT-Pdcl complex;CCT5,CCT7,CCT4,TCP1,CCT6A,CCT3,CCT2,CCT8,Pdcl
B23-NPM3 complex;Npm1,Npm3
Klf5-Pias1 complex;Pias1,Klf5
Tetrameric COG subcomplex;COG7,COG8,COG5,COG6
COG5-COG6-COG7 subcomplex;COG7,COG5,COG6
Binary COG subcomplex;COG7,COG5
COG1-COG8 subcomplex;COG1,COG8
Limd1-p62-Traf6-Prkcz complex;Traf6,Prkcz,Sqstm1,Limd1
COG2-COG3-COG4 subcomplex;COG2,COG3,COG4
COG1-COG8-COG2-COG3-COG4 subcomplex;COG2,COG1,COG3,COG8,COG4
COG1-COG8-COG5-COG6-COG7 subcomplex;COG7,COG1,COG8,COG5,COG6
Traf6-p62-aPKC complex, RANK-L stimulated;Traf6,Prkci,Sqstm1
Fgf2-Ck2 complex;Fgf2,Csnk2b
Fgf2-Rsk2 complex;Fgf2,Rps6ka3
GammaH2AFX-NDHII-Ku70-DNA complex;XRCC6,H2AFX,DHX9
NR3C2-UBC9-SRC-1 complex;NR3C2,UBE2I,NCOA1
RIN1-STAM2-HRS complex;HGS,STAM2,RIN1
RIN1-STAM2-EGFR complex, EGF stimulated;STAM2,EGFR,RIN1
CHL2-BMP2 complex;BMP2,CHRDL2
CHL2-BMP2-TSG complex;BMP2,CHRDL2,TWSG1
Pericentrin-GCP complex;Pcnt,Tubgcp3,Tubgcp2
SKI-SMAD2-SMAD4  pentameric complex;SKI,SMAD4,SMAD2
SKI-SMAD3-SMAD4 complex;SKI,SMAD3,SMAD4
Slp5-Rab27A complex;Sytl5,Rab27a
CREBBP-SMAD2 hexameric complex;SMAD2,CREBBP
CREBBP-SMAD3 hexameric complex;SMAD3,CREBBP
CREBBP-SMAD2-SMAD4 pentameric complex;SMAD4,SMAD2,CREBBP
CREBBP-SMAD3-SMAD4 pentameric complex;SMAD3,SMAD4,CREBBP
DRIP78-PHLP complex;PDCL,DNAJC14
ADRB2 homodimer complex;ADRB2
SP1-E2F1 complex;Sp1,E2f1
SP1-E2F2 complex;SP1,E2f2
SP1-E2F3 complex;E2f3,SP1
TCL1(trimer)-AKT1 complex;AKT1,TCL1A
TCL1(trimer)-AKT2 complex;AKT2,TCL1A
TCL1 homotrimer complex;TCL1A
Rb-HDAC1 complex;RB1,HDAC1
Xin-Cdh2-Ctnnb1-Ctnnd1 complex;Xirp1,Cdh2,Ctnnd1,Ctnnb1
Abcg5-Abcg8 complex;Abcg5,Abcg8
Abcg5-Abcg1 complex;Abcg1,Abcg5
Abcg5-Abcg2 complex;Abcg2,Abcg5
Abcg5-Abcg4 complex;Abcg4,Abcg5
Abcg8-Abcg4 complex;Abcg4,Abcg8
GABP(gamma)1-E2F1-DP1 complex;E2F1,TFDP1,GABPB2
Grip-Glur2/3-liprin-alpha complex;Gria2,Gria3,Grip1,Ppfia4
Ternary complex (GATA4, SRF, MYOCD);SRF,GATA4,MYOCD
Ternary complex (CCD1, Dvl, Rac);Akt1,Dvl1,DIXDC1
CCD1-Axin complex;Axin1,DIXDC1
RAB11FIP1-RAB11A complex;RAB11A,RAB11FIP1
Beta-catenin-Cadherin-LAR complex;Ptprf,Ctnnb1,Cdh2
MondoA-Mlx complex;Mlx,Mlxip
Mlx-Mad1 complex;Mlx,Mxd1
SKI-SMAD3-SMAD4 complex, TGF(beta)-dependent;SKI,SMAD3,SMAD4
SMAD3-cSKI-SIN3A-HDAC1 complex;SKI,SMAD3,HDAC1,SIN3A
Ubiquitin E3 ligase (SMURF2, SMAD2), TGF(beta)-dependent;SMAD2,SMUF2
Ubiquitin E3 ligase (SMURF2, SMAD3), TGF(beta)-dependent;SMUF2,SMAD3
Ubiquitin E3 ligase (SMURF2, SMAD3) - SnoN complex, TGF(beta)-dependent;SKIL,SMAD3,SMURF2
ClpP complex, heptameric;Clpp
ClpXP complex;CLPX,CLPP
ClpX complex, hexameric;CLPX
ACTN1-PARVB complex;ACTN1,PARVB
PAR4-BACE1 complex;BACE1,PAWR
NEMO-HIF2(alpha)-ARNT complex;ARNT,EPAS1,IKBKG
Axin-Dvl-Gsk complex;Axin1,Dvl1,Gsk3b
Axin1-Dvl1-Gsk3b-Frat1 complex;Axin1,Dvl1,Frat1,Gsk3b
Ubiquitin E3 ligase (CUL1, RBX1, SKP1);RBX1,SKP1,CUL1
XRCC6-XRCC5-WRN complex;XRCC6,XRCC5,WRN
SMAD6-HOXC8 complex;SMAD6,HOXC8
SMAD6-HOXA9 complex;SMAD6,HOXA9
CTNNAL1-CTNNB1 complex;CTNNB1,CTNNAL1
CTNNA1-CTNNB1 complex;CTNNA1,CTNNB1
5'-AMP-activated protein kinase complex (AMPK);Prkag1,Prkaa2,Prkab2
TSC (TSC1, TSC2, AXIN, GSK3) complex;AXIN1,TSC2,GSK3B,TSC1
HSP90-FKBP38-CAM-Ca(2+) complex;HSP90AA1,CALM1, CAL,FKBP8
DNM1L-FIS1 complex;DNM1L,FIS1
HNRNPU-NR3C1 complex;NR3C1,HNRNPU
EIF3 core complex (EIF3A, EIF3B, EIF3G, EIF3I);EIF3G,EIF3B,EIF3I,EIF3A
EIF3 complex (EIF3A, EIF3B, EIF3G, EIF3I, EIF3C);EIF3G,EIF3B,EIF3I,EIF3A,EIF3C
EIF3 complex (EIF3B, EIF3G, EIF3I);EIF3G,EIF3B,EIF3I
EIF3 complex (EIF3B, EIF3J, EIF3I);EIF3J,EIF3B,EIF3I
EIF3 complex (EIF3A, EIF3B, EIF3G, EIF3I, EIF3J);EIF3G,EIF3J,EIF3B,EIF3I,EIF3A
CBF-DNA complex;NFYA,NFYB,NFYC
p32-CBF-DNA complex;NFYA,NFYB,C1QBP,NFYC
beta(1)-AR receptosome (ADRB1-SAP97-AKAP79-PRKAR2A);ADRB1,PRKAR2A,AKAP5,DLG1
SVIP-VCP-DERL1 complex;VCP,SVIP,DERL1
gp78-VCP-DERL1 complex;VCP,DERL1,AMFR
VCP-VIMP-DERL1 complex;VCP,VIMP,DERL1
VCP-VIMP-DERL2 complex;VCP,VIMP,DERL2
VCP-VIMP-DERL1-DERL2-HRD1-SEL1L complex;VCP,SYVN1,VIMP,DERL1,DERL2,SEL1L
Vcp homohexamer complex;Vcp
Cdk5-p39-CaMKII(alpha)-(alpha)actinin1 complex;Cdk5r2,Camk2a,Cdk5,Actn1
RB1(hypophosphorylated)-E2F4 complex;RB1,E2F4
CyclinD3-CDK4-CDK6 complex;CDK4,CCND3,CDK6
CyclinD3-CDK4-CDK6-p21 complex;CDK4,CCND3,CDKN1A,CDK6
p34(SEI-1)-CDK4-CyclinD2 complex;CDK4,CCND2,SERTAD1
Trip(Br1)-Dp1-E2F1 complex;Tfdp1,E2f1,Sertad1
Trip(Br2)-Dp1-E2F1 complex;Tfdp1,E2f1,Sertad2
RBL2 complex (DNMT1, E2F4, E2F5, HDAC1, SUV39H1, RBL2);SUV39H1,DNMT1,RBL2,HDAC1,E2F5,E2F4
RBL2 complex (E2F4, E2F5, HDAC1, SUV39H1, P300, RBL2);SUV39H1,RBL2,EP300,HDAC1,E2F5,E2F4
p19-Cdk4 complex;Cdk4,Cdkn2d
p19-Cdk6 complex;Cdkn2d,Cdk6
p18-Cdk4 complex;Cdk4,Cdkn2c
p18-Cdk6 complex;Cdkn2c,Cdk6
DCS complex (Ptbp1, Ptbp2, Hnrph1, Hnrpf);Hnrnph1,Ptbp1,Ptbp2,Hnrnpf
E2F1-p107-cyclinA complex;CCNA2,RBL1,E2F1
p19-Cdk4-cyclinD2 complex;Ccnd2,Cdk4,Cdkn2d
Nsf-Stx1a-Napa complex;Stx1a,Napa,Nsf
Nsf-Stx1a-NAPG complex;Stx1a,NAPG,Nsf
CTFC-TAF1 complex;CTCF,SET
CTCF-nucleophosmin complex;NPM1,CTCF
Smarca2-Smarce1-Mecp2 complex;Smarce1,Smarca4,Mecp2
E2F4-p107-cyclinE complex;CCNE1,RBL1,E2F4
E2F4-p130 complex;RBL2,E2F4
ELK1-SRF-ELK3 complex;SRF,ELK1,ELK3
AP1G1-PACS1-FURIN complex;AP1G1,FURIN,PACS1
C3G-Crkl-Shp2 complex;Ptpn11,Crkl,Rapgef1
C3G-Crkl-Shp2-Cbl-Egfr complex;Cbl,Ptpn11,Crkl,Egfr,Rapgef1
C3G-Crkl-Shp2-Gab2-TrkA complex;Ntrk1,Ptpn11,Crkl,Gab2,Rapgef1
SH3KBP1-CBLB-EGFR complex;EGFR,CBLB,SH3KBP1
Sh3kbp1-Cblb-Egfr complex;Egfr,Cblb,Sh3kbp1
Sh3kbp1-Cblb-Pdgfrb complex;Pdgfrb,Cblb,Sh3kbp1
Smarcb1-Smarca2-Mecp2 complex;Smarca2,Smarcb1,Mecp2
SWI/SNF-related chromatin-remodeling complex (Brm-based);Smarce1,Hdac2,Smarcc1,Smarca2,Sin3a,Smarcb1,Mecp2
MGC1-DNA-PKcs-Ku complex;XRCC6,XRCC5,PRKDC,MDC1
Polycystin-1 multiprotein complex (ACTN1, CDH1, SRC, JUP, VCL, CTNNB1, PXN, BCAR1, PKD1, PTK2, TLN1);ACTN1,CDH1,SRC,JUP,VCL,CTNNB1,PXN,BCAR1,PKD1,PTK2,TLN1
JAK2-PAFR-TYK2 complex;JAK2,PTAFR,TYK2
NCOA6-DNA-PK-Ku-PARP1 complex;PARP1,XRCC6,XRCC5,PRKDC,NCOA6
DNA-PK-Ku-eIF2-NF90-NF45 complex;EIF2S1,XRCC6,XRCC5,EIF2S2,EIF2S3,PRKDC,ILF2,ILF3
SWI/SNF-related chromatin-remodeling complex;SMARCA2,MECP2,HDAC1,SMARCE1,SIN3A
Hdac2-Mecp2-Sin3a-Smarca2 complex;Hdac2,Smarca2,Sin3a,Mecp2
YWHAQ-CALM1-CABIN1 complex;YWHAQ,CALM1, CAL,CABIN1
TIAM1-EFNB1-EPHA2 complex;EPHA2,EFNB1,TIAM1
Ezh2 methyltransferase complex, cytosolic;EED,SUZ12,Ezh2
Tiam1-Efnb1-Epha2 complex;Efnb1,Epha2,Tiam1
TNF-alpha/NF-kappa B signaling complex (CHUK, KPNA3, NFKB2, NFKBIB, REL, IKBKG,  NFKB1, NFKBIE, RELB,  NFKBIA, RELA, TNIP2);NFKBIE,KPNA3,CHUK,NFKB1,NFKBIA,NFKB2,RELB,RELA,REL,NFKBIB,TNIP2,IKBKG
TNF-alpha/NF-kappa B signaling complex (SEC16A, CHUK, IKBKB, NFKB2, REL, IKBKG, MAP3K14, RELA, FBXW7, USP2);IKBKB,SEC16A,CHUK,USP2,NFKB2,RELA,REL,FBXW7,MAP3K14,IKBKG
PTIP-HMT complex;KDM6A,WDR5,NCOA6,KDM6B,PAXIP1,KMT2C,PAGR1,DPY30,ASH2L,KMT2B
TNF-alpha/NF-kappa B signaling complex (CHUK, BTRC, NFKB2, PPP6C, REL, CUL1, IKBKE, SAPS2, SAPS1, ANKRD28, RELA, SKP1);PPP6C,ANKRD28,CHUK,PPP6R2,SKP1,NFKB2,RELA,REL,CUL1,IKBKE,PPP6R1,BTRC
PTIP-DNA damage response complex;NBN,MRE11A,BLM,TP53BP1,PAXIP1,RAD50
CBP-RARA-RXRA-DNA complex, ligand stimulated;RARA,RXRA,CREBBP
Kinase maturation complex 1;HSP90AA1,HSP90AB1,YWHAQ,YWHAB,HSPA4,YWHAG,YWHAE,YWHAZ,YWHAH,MAP2K5,CDC37,TRAF7,MARK2,MAP3K3,PDRG1,PFDN2
Pentraxin complex;Nptxr,Nptx1,NPTX2,Rcn2
Ubiquilin-proteasome complex;PSMA1,PSMA2,PSMA6,UBE3A,UBQLN2,UBQLN1
TANK-TRAF2-TRAF3 complex;TRAF2,TRAF3,TANK
RAF1-PPP2-PIN1 complex;RAF1,PPP2R1A,PPP2CB,PPP2R2A,PIN1
